,Question,Answer
472,House Massey was vassal of what house?,'House Durrandon of Storm's End
473,House Targaryen had closer ties to what house of Lords?,'House Massey
474,When was Aegon crowned king?,'After Aegon
475,Who created the first small council?,'Aegon
476,Who was given the honour of becoming a master of laws?,'Triston Massey
477,What was the name of the Targaryen mother?,'Targaryen
478,Who was the first Master of Ships of the Seven Kingdoms?,'Daemon Velaryon
479,What dragon was used by Aegon The Conqueror and his sisters during The War of Conquest?,'Vhagar
480,What was the name of the temple?,'Valyria
481,Who was the temple named for?,'one of the gods of old Valyria
482,Who was Vhagar ridden by?,"'Visenya Targaryen, Laena Velaryon and Aemond Targaryen"
483,Who was Laena Velaryon?,'Visenya Targaryen
484,What is the name of Vhagar's flame?,'flame
485,During what war was she already a huge and ferocious dragon?,'War of Conquest
486,When did Balerion and Meraxes die?,'the Dance of the Dragons
487,Who was one of the largest dragons in existence?,'Vhagar
488,Who was said to be as big as Balerion himself?,'She
489,Who was close to her size?,'Vermithor
490,What was Vermithor?,'the Bronze Fury
491,Who was one of the few dragons who could match Vhagar in combat?,'Meleys
492,How many battles did Vhavar survive?,'a hundred
493,What type of dragon was Meleys?,'one of the few dragons
494,What type of creature was Vhagar?,"'destructive, quarrelsome and aggressive"
495,Whose roar was one of the most fearsome of any of her kind?,"'Her roar was one of the most fearsome of any of her kind, noted to have shaken the very foundations of Storm's End during her prime."
496,What did Storm's End shake during her prime?,'the very foundations
497,How old was Vhagar?,'nearly two hundred years
498,Who admitted that Vhagar was a quarrelsome beast?,'Visenya
499,What did Visenya admit was as dangerous as Balerion?,'Vhagar
500,Where did Vhagar hatch during the Century of Blood?,'Dragonstone
501,What god was Vhaga named for?,'Valyrian
502,Who were Balerion and Meraxes named after?,'Valyrian god
503,Who claimed her before she married the Conqueror?,'Visenya Targaryen
504,Who was the sister-wife of Aegon?,'Visenya Targaryen
505,Where did Vhagar fly with her fellow beasts Meraxes and Balerion and their riders?,'Westeros
506,During what war was she used?,'War of Conquest
507,Where was she flown into battle?,'Gulltown
508,Who destroyed the Arryn fleet?,'she and her rider Visenya
509,What was Visenya's name?,'rider
510,What battle became known as the Field of Fire?,'battle
511,For the first time in history all three of the original Targaryen dragons took the sky at the same time?,'the Field of Fire
512,"How many men did Vhagar, Meraxes, and Balerion the Black Dread kill?",'four thousand
513,When did King Mern die?,'House Gardener
514,"Along with House Gardener, who died?",'King Mern
515,What army was broken?,'The army
516,Aegon I was victorious.,'The army was broken and Aegon I was victorious.
517,What could Vhagar's fire do to a knight?,'melt a knight's armor and cook him inside
518,When was Vhagar flown during the subjugation of Vale of Arryn?,"'later flown during the subjugation of the Vale of Arryn, albeit far less bloodily"
519,When did Sharra Arryn confront Queen Visenya?,"'When Sharra Arryn confronted Queen Visenya, the Valewoman found her young son King Ronnel in the company of the Valyrian warrior-queen."
520,Who was the Valewoman's young son in the company of?,'King Ronnel
521,Who allowed Ronnel to ride on Vhagar?,'Visenya
522,What did Visenya ask for?,'a ride on Vhagar
523,Whose crown was required to surrender?,'Arryns
524,Who flew on the mighty dragon?,'Ronnel
525,Who collected the crowns and swords of the Vale?,'Visenya
526,Queen Visenya flew Vhagar until the day that what woman died?,'woman died.
527,In what war did the dragon destroy every Dornish stronghold?,'First Dornish War
528,Sunspear was the exception to what?,'First Dornish War
529,When did King Aegon die?,'After the death of King Aegon
530,Who ignited the pyre that the Conqueror was placed on?,'Vhagar
531,Who named his son Prince Aegon the Prince of Dragonstone?,'Aenys
532,Who left in a fury on her dragon?,'Visenya
533,"As Vhagar flew off, the moon turned red as what?",'blood
534,When did Aenys die?,"'Visenya flew Vhagar to Pentos to collect her son Maegor, and proclaim him king"
535,Where did Visenya fly to to collect her son Maegor?,'Vhagar to Pentos
536,Who flew Balerion himself?,'Maegor
537,Where did Maegor join his mother flying back to?,'King's Landing
538,What caused riots throughout the city?,'terrified citizens
539,When did Maegor's reign become as bloody as the War of Conquest?,'Soon enough
540,Who would use Vhagar to obliterate the keeps of several houses?,'Visenya
541,During what war was Vhagar used to shatter Oldtown itself?,'Maegor's war against the Faith Militant
542,What would have happened if the High Septon hadn't died before this happened?,'Vhagar would have been used to shatter Oldtown itself
543,When did Visenya die?,'eventually died
544,Who was left without a rider?,'Vhagar
545,Who was the second wife of Prince Daemon Targaryen?,'Laena Velaryon
546,Who would tame Vhagar?,'Laena Velaryon
547,Who flew the great dragon frequently?,'Daemon and their niece Rhaenyra
548,Who were Daemon and Rhaenyra?,'their niece
549,How many AC did Laena die in?,'120
550,What was the cause of death of Laene?,'120 AC
551,Who died in 120 AC?,'Laena
552,What happened to Vhagar after her death?,'riderless
553,What was the name of the woman who died?,'Vhagar
554,Who was the second son of King Viserys I Targaryen?,'Prince Aemond Targaryen
555,Who briefly halted the dragon?,'Prince Joffrey
556,What did Prince Joffrey do?,'mount the dragon
557,How many times did Vhagar fly around Driftmark before landing?,'twice
558,When did Aemond dismount?,'he was confronted by Joffrey's brothers Jacaerys and Lucerys
559,Who were Jacaerys and Lucerys?,'Joffrey's brothers
560,What did Aemond lose in the fight?,'an eye
561,What did he later see as a price to pay for such a formidable dragon?,'an eye
562,Who used Vhagar to wreak destruction during the Dance of the Dragons?,'Aemond
563,What dragon killed Prince Lucerys Velaryon and his dragon Arrax during the dance of Shipbreaker Bay?,'huge dragon
564,Which dragon was 5 times smaller than Arrax?,'huge dragon
565,What caused Arrax to slow down a lot?,'a terrible storm
566,Which two dragons were easy prey for?,'Aemond and Vhagar
567,Who killed Rhaenys Targaryen?,'Vhagar and Aemond
568,What dragon did Aegon II kill?,"'Sunfyre, the Golden"
569,Who was the Queen who Never Was?,'Princess Rhaenys Targaryen
570,"Meley could have defeated Vhagar alone, but couldn't defeat which dragon?",'both dragons
571,Meley was killed alongside whom?,'her rider
572,Who remained relatively unharmed after the fight?,'Vhagar
573,Who was greatly injured alongside King Aegon II?,'Sunfyre
574,What was Vhagar's partner?,'Sunfyre
575,What did Aemond take with him to ravage the Riverlands?,'Vhagar
576,Who was the Lord Commander?,'Ser Criston Cole
577,What caused the death of Lord Commander Ser Criston Cole?,'Aemond left the army without a dragon
578,Who challenged dragon and rider to a fight in Harrenhal?,'Prince Daemon Targaryen
579,Prince Daemon Targaryen wanted revenge for the murder of who?,'his stepson Lucerys
580,How long did they wait at the shores of the God's Eye?,'thirteen days
581,When did Aemond and Vhagar arrive?,'fourteenth
582,When did Daemon jump from Caraxes?,'in mid air
583,Who killed Aemond by stabbing him in the eye?,'Daemon
584,What did Vhagar do?,'drowned
585,What did Caraxes swim ashore?,"'died sometime later, while the body of Daemon"
586,Whose body was never found?,'Daemon
587,When were the bodies of Vhagar and his rider recovered?,'some years after the war
588,"The body of Aemond was still strapped to his chair, with what in his eye?",'Dark Sister
589,How old was Vhagar at the time of her death?,'one hundred and eighty-one years
590,Who was the mightiest dragon at the disposal of King Aegon II Targaryen and his greens?,'Vhagar
591,What is the name of the place where her skull can be found?,'Red Keep
592,Where is her skull located?,'Red Keep in King's Landing
593,Who was the older of Aegon the Conqueror's sister-wives?,'Queen Visenya Targaryen
594,Who was Visenya Targaryen?,'Queen Visenya Targaryen was the older of Aegon the Conqueror's sister-wives
595,Who was the mother of Maegor I Targaryen?,'She
596,Where were Visenya's sister and brother born?,'Dragonstone
597,How long had the Targaryens held the island before the Doom of Valyria?,'two hundred years
598,When did the Targaryens try to expand their holdings?,'In the century after the Doom
599,What was the century after the Doom called?,'Bleeding Years
600,What continent was Aegon torn between unifying?,'Westeros
601,What continent had been experiencing bloody strife in the aftermath of Valyria's fall?,'Free Cities
602,What did Aegon and his sisters do instead of conquering the Free Cities of Essos?,'invasion of Westeros
603,When did Aegon I Targaryen land on the eastern coast of Westeros?,'1 AL
604,How many dragons were there?,'three
605,Who landed on the east coast of westeros with his army of soldiers and three dragons?,'Aegon I Targaryen
606,Who knew that their full-grown dragons would be their ultimate weapon?,'the Targaryens
607,Who sent Visenya to demand the submission of the lords of Crackclaw Point?,'Aegon
608,When did Harren Hoare die?,'Harrenhal
609,What did the lords of Crackclaw lay their swords at?,'her feet
610,Who took them as her own men?,'Visenya
611,Who would swear fealty to?,'Visenya
612,What kingdom did the Targaryens conquer after conquering the Riverlands?,'neighboring kingdoms
613,King Loren Lannister of the Rock and King Mern IX Gardener of the Reach formed an alliance and assembled their arimes to face the Targaryen invaders.,"'King Loren Lannister of the Rock, and King Mern IX Gardener of the Reach, formed an alliance and assembled their arimes to face the Targaryen invaders."
614,"How many dragons did Visenya, Rhaenys and her brother deploy at once?",'three
615,How many men and King Mern were blasted by the dragons?,'four thousand
616,How many dragons covered the entire battlefield?,'four
617,What is the name of the battle site?,'Field of Fire
618,Who swore fealty to Aegon?,'King Loren
619,Who was allowed to remain Lord of Casterly Rock?,'King Loren
620,Who owned the Reach?,'Harlen Tyrell
621,Who was Merns steward?,'Harlen Tyrell
622,What did Harlen Tyrell own?,'the Reach
623,What did the Targaryen accept?,'their oaths
624,Who accepted their oath?,'The Targaryen
625,How many of the seven Kingdoms of Westeros did the Targaryens control?,'six
626,Who was Visenya's brother?,'Aegon I Targaryen
627,What was her younger sister's name?,'Rhaenys Targaryen
628,Who ruled with great wisdom and peace?,'three Targaryens
629,What was Visenya's only son?,'Maegor the Cruel
630,Where did Visenya prefer to live after her brother's death?,'Dragonstone
631,Where did she prefer to dwell after her nephew's ascension?,'Dragonstone
632,What was the name of her nephew?,'Aenys
633,Whose actions angered Aenys?,'Faith Militant
634,Who urged her nephew to take decisive action against the crown?,'the Faith Militant
635,When did Aenys die?,'sudden illness
636,What was the name of the son that Aenys brought from exile?,'Maegor
637,When did Maegor take the throne?,"'When Maegor took the throne, he put Queen Dowager Alyssa and her children Jaehaerys and Alysanne under her custody at Dragonstone"
638,Where did Queen Dowager Alyssa and her children live?,'Dragonstone
639,In what year did Alyssa pass away?,'44AC
640,What was the name of the person who passed away in 44AC?,'Alyssa
641,Who was Visenya's son?,'Maegor I Targaryen
642,What was Maegor I Targaryen's nephew's name?,'Aenys I Targaryen
643,"After Aegon's death, who ruled Westeros?",'Visenya's son Maegor I Targaryen and nephew Aenys I Targaryen
644,What was Maegor considered to be?,'too violent and cruel
645,What did Aenys leave to his half-brother?,'running the military
646,Maegor's cruel nature was widely accepted because of what?,'cruel nature of Maegor.
647,What was the name of Visenya's only son?,'Maegor
648,What was Maegor's name?,'only son
649,Who shared the same traditional Valyrian looks as her sister and brother?,'Visenya
650,What color hair was she braided in?,'silver-gold
651,What color eyes did Targaryen have?,'lilac
652,What was the name of the Valyrian sword?,'Dark Sister
653,What weapon did she carry?,'Valyrian sword Dark Sister
654,"What was the name of the woman who was stern, sensual, and passionate?",'wilful
655,What kind of wilful was she?,'intensely
656,What was Vhagar's name?,'Vhagar
657,What did she become at the end of her life?,'very thin and haggard
658,What was the name of the person who had a monstrous temper?,'She had a monstrous temper.
659,What kind of side did she have?,"'dark, unforgiving"
660,What was she more of?,'temptress
661,What would Visenya and her sister often compete for?,'Aegon's attention
662,Who was Visenya's polar opposite?,'Rhaenys
663,What sword did she own?,'Dark Sister
664,Whose sword was Dark Sister?,'Visenya
665,What happened to Visenya's relationship with her younger brother after Rhaenys' death?,'became even more distant
666,Who left Visenya to build the Red Keep?,'Aegon
667,What did rumours say Aegon did?,'left Visenya to the construction of the Red Keep
668,What did Rhaenys entertain in her bedchamber?,'men
669,What was Visenya's fidelity to Aegon?,'Visenya's fidelity to Aegon was not so easily denied
670,Who berated Aegon for his ineffectual guards?,'Visenya
671,What did Visenya do to prove her point?,'scar his cheek with her sword
672,What led to the creation of the Kingsguard?,'This led to the creation of the Kingsguard.
673,What did she advocate for the laws and vows of the Kingsguard?,"'desiring them to be the greatest, most loyal and efficient knights in all the realm"
674,"Who did she want to be the greatest, most loyal and efficient knights in all the realm?",'the Kingsguard
675,What did Visenya believe King Aenys was weak for?,'loved his mother
676,What did she believe he was weak despite loving his mother?,'King Aenys
677,What did she defy Aenys by officiating the marriage between her son and Alys Harroway?,'unlawful
678,Who did she chastise for not returning fire on the Faith Militant when they defied him?,'Aenys
679,How many admirers did she have at the end of her life because so many were terrified of her?,'very few
680,During what reign did she advocate violence?,'Aenys
681,Who proved to be more dangerous than her?,'Maegor
